259873_s_at AT1G76720;AT1G76825
254993_at AT4G10730
250605_at AT5G07570
246812_at AT4G07523;AT1G43205;AT5G27180
263165_at AT1G03060
259372_at AT1G69120
245753_at AT1G35143
260059_at AT1G78090
252917_at AT4G38960
262251_at AT1G53760
265477_at AT2G46480
266507_at AT2G47860
251858_at AT3G54820
261192_at AT1G32870
247026_at AT5G67080
253011_at AT4G37890
256237_at AT3G12610
259608_at AT1G27960
254293_at AT4G23060
250944_at AT5G03380
246112_at AT5G20200
249338_at AT5G41090
255323_at AT4G04280
258549_at AT3G06930
264534_at AT1G55700
245053_at AT2G26450
260398_at AT1G72320
248279_at AT5G52910
262590_at AT1G15100
252217_at AT3G50140
261428_at AT1G18870
252331_s_at AT3G48780;AT3G48790
257635_at AT3G26280
266846_at AT2G25970
251158_at AT3G63150
247365_at AT5G63220
256576_at AT3G28210
254529_at AT4G19540
260514_at AT1G51480
267089_at AT2G38300
256721_at AT2G34150
259947_at AT1G71530
265932_at AT2G19510
250244_at AT5G13680
246451_at AT5G16760
249677_at AT5G35970
255662_at AT4G00400
258888_at AT3G05620
262826_at AT1G13080
245392_at AT4G15680
246716_s_at AT5G28960;AT5G28910
267205_at AT2G30820
252556_at AT3G45950
248763_at AT5G47550
257974_at AT3G20820
251497_at AT3G59060
254868_at AT4G12270
260853_at AT1G21950
250583_at AT5G07500
253271_s_at AT4G34470;AT4G34210
246790_at AT5G27610
245628_at AT1G56650
251613_at AT3G57960
258188_at AT3G17800
264173_at AT1G02160
247820_at AT5G58380
262126_at AT1G59620
267544_at AT2G32720
252895_at AT4G39450
261067_at AT1G07460
253925_at AT4G26690
257274_at AT3G14510
266485_at AT2G47630
258304_at AT3G30640
254168_at AT4G24250
250819_at AT5G05100
260153_at AT1G52760
248034_at AT5G55910
263379_at AT2G40140
259586_at AT1G28100
246090_at AT5G20520
245967_at AT5G19800
266601_at AT2G46060
251952_at AT3G53650
262465_at AT1G50270
247120_at AT5G65990
256331_at AT1G76880
252195_at AT3G50190
259702_at AT1G77780
253225_at AT4G35020
249432_at AT5G39930
258643_at AT3G08010
259204_s_at AT3G09170;AT1G34610
257339_s_at ATMG00040;AT2G07671;ATMG01080
265807_at AT2G17990
260492_at AT2G41850
248373_at AT5G51860
250119_at AT5G16470
246326_at AT1G16590
252311_at AT3G49370
255537_at AT4G01690
261522_at AT1G71710
264748_at AT1G70070
266940_at AT2G18970
245267_at AT4G14060
251252_at AT3G62230
256670_at AT3G32220
248638_at AT5G49070
254623_at AT4G18480
257849_at AT3G13060
267183_at AT2G44020
263834_at AT2G40316
266151_x_at AT2G12300
259002_at AT3G02000
247579_at AT5G61320
253564_at AT4G31170
249771_at AT5G24080
258982_at AT3G08870
260728_at AT1G48210
256935_at AT3G22570
262920_at AT1G79500
252650_at AT3G44690
255876_at AT2G40480
261861_at AT1G50450
264048_at AT2G22400
255136_s_at AT4G08360;AT4G08350
266240_at AT2G29580
251591_at AT3G57680
261868_s_at AT1G11450;AT1G11460
267419_at AT2G35010
248977_at AT5G45020
254962_at AT4G11050
257149_at AT3G27280
263134_at AT1G78570
259341_at AT3G03740
246709_s_at AT5G28160;AT5G28180
245722_at AT1G73430
249071_at AT5G44050
258282_at AT3G26910
260028_at AT1G29980
