Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-132AR-1526-SM-5KM1L,GTEX-13S7M-1726-SM-5RQK3,0.8509
GTEX-S341-1026-SM-4AD71,GTEX-RU72-2626-SM-4TT75,0.8513
GTEX-132AR-1526-SM-5KM1L,GTEX-113JC-2226-SM-5EGJG,0.8513
GTEX-WWYW-2826-SM-4MVOQ,GTEX-QCQG-1326-SM-48U24,0.8518
GTEX-113JC-2226-SM-5EGJG,GTEX-QCQG-1326-SM-48U24,0.8518
GTEX-ZAK1-2526-SM-5S2N7,GTEX-ZYWO-2126-SM-5GZXF,0.852
GTEX-ZAK1-2526-SM-5S2N7,GTEX-R55G-1626-SM-48FF4,0.8521
GTEX-P4PP-2026-SM-3P61N,GTEX-TMMY-2226-SM-4DXTN,0.8522
GTEX-P4PP-2026-SM-3P61N,GTEX-T6MO-1526-SM-4DM57,0.8523
GTEX-RWS6-1326-SM-47JXB,GTEX-113JC-2226-SM-5EGJG,0.8523
GTEX-N7MT-0726-SM-3TW8S,GTEX-XUZC-0926-SM-4BOQF,0.8523
GTEX-N7MT-0726-SM-3TW8S,GTEX-S341-1026-SM-4AD71,0.8524
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-ZAK1-2526-SM-5S2N7,0.8524
GTEX-131YS-2326-SM-5IJFJ,GTEX-WI4N-2426-SM-4OOSC,0.8526
GTEX-132AR-1526-SM-5KM1L,GTEX-11EM3-1926-SM-5987U,0.8526
GTEX-132AR-1526-SM-5KM1L,GTEX-ZXES-0726-SM-5E451,0.8529
GTEX-WWYW-2826-SM-4MVOQ,GTEX-Y114-1826-SM-4TT87,0.853
GTEX-WWYW-2826-SM-4MVOQ,GTEX-R55G-1626-SM-48FF4,0.853
GTEX-N7MT-0726-SM-3TW8S,GTEX-PWOO-1526-SM-48TCK,0.8534
GTEX-13N11-1126-SM-5KM41,GTEX-RWS6-1326-SM-47JXB,0.8535
GTEX-131XG-2026-SM-5GCN5,GTEX-WI4N-2426-SM-4OOSC,0.8535
GTEX-132AR-1526-SM-5KM1L,GTEX-POMQ-1226-SM-3P61F,0.8536
GTEX-13VXT-1626-SM-5IJES,GTEX-PWOO-1526-SM-48TCK,0.8536
GTEX-N7MT-0726-SM-3TW8S,GTEX-T2IS-2226-SM-4DM65,0.854
GTEX-132AR-1526-SM-5KM1L,GTEX-WI4N-2426-SM-4OOSC,0.854
GTEX-132AR-1526-SM-5KM1L,GTEX-12WSK-2026-SM-5CVNB,0.854
GTEX-11GSP-2426-SM-5N9BD,GTEX-132AR-1526-SM-5KM1L,0.854
GTEX-RTLS-2426-SM-46MUO,GTEX-R55G-1626-SM-48FF4,0.854
GTEX-N7MT-0726-SM-3TW8S,GTEX-131XG-2026-SM-5GCN5,0.8545
GTEX-RWS6-1326-SM-47JXB,GTEX-XUZC-0926-SM-4BOQF,0.8545
GTEX-ZAK1-2526-SM-5S2N7,GTEX-132AR-1526-SM-5KM1L,0.8545
GTEX-13W3W-1426-SM-5LU56,GTEX-1117F-2426-SM-5EGGH,0.8546
GTEX-1313W-2826-SM-5P9G1,GTEX-PWOO-1526-SM-48TCK,0.8547
GTEX-POMQ-1226-SM-3P61F,GTEX-QCQG-1326-SM-48U24,0.8549
GTEX-P4PP-2026-SM-3P61N,GTEX-145ME-1326-SM-5O98Q,0.8549
GTEX-WWYW-2826-SM-4MVOQ,GTEX-S341-1026-SM-4AD71,0.855
GTEX-11I78-2126-SM-5A5K8,GTEX-PWOO-1526-SM-48TCK,0.8551
GTEX-13W3W-1426-SM-5LU56,GTEX-WI4N-2426-SM-4OOSC,0.8551
