Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-S7SF-0826-SM-4AD4W,GTEX-WI4N-2426-SM-4OOSC,0.8876
GTEX-13OVI-1026-SM-5L3EM,GTEX-PWOO-1526-SM-48TCK,0.8876
GTEX-Y114-1826-SM-4TT87,GTEX-11I78-2126-SM-5A5K8,0.8877
GTEX-13QBU-1626-SM-5LU4S,GTEX-WI4N-2426-SM-4OOSC,0.8877
GTEX-P4QT-2026-SM-3NMCJ,GTEX-ZV6S-1526-SM-5NQ7O,0.8877
GTEX-XUJ4-1526-SM-4BONU,GTEX-ZAK1-2526-SM-5S2N7,0.8877
GTEX-OHPL-2026-SM-3TW8R,GTEX-RU72-2626-SM-4TT75,0.8877
GTEX-RTLS-2426-SM-46MUO,GTEX-T6MO-1526-SM-4DM57,0.8878
GTEX-Y114-1826-SM-4TT87,GTEX-11EMC-1826-SM-5A5JT,0.8878
GTEX-11GSP-2426-SM-5N9BD,GTEX-TMMY-2226-SM-4DXTN,0.8878
GTEX-ZAK1-2526-SM-5S2N7,GTEX-1117F-2426-SM-5EGGH,0.8878
GTEX-12WSK-2026-SM-5CVNB,GTEX-WI4N-2426-SM-4OOSC,0.8879
GTEX-Q734-1626-SM-48U1B,GTEX-PWOO-1526-SM-48TCK,0.8879
GTEX-13N11-1126-SM-5KM41,GTEX-ZV6S-1526-SM-5NQ7O,0.8879
GTEX-TMMY-2226-SM-4DXTN,GTEX-113JC-2226-SM-5EGJG,0.888
GTEX-P4QT-2026-SM-3NMCJ,GTEX-ZAK1-2526-SM-5S2N7,0.888
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-13QBU-1626-SM-5LU4S,0.888
GTEX-1313W-2826-SM-5P9G1,GTEX-S32W-1426-SM-4AD66,0.888
GTEX-13N11-1126-SM-5KM41,GTEX-11GSP-2426-SM-5N9BD,0.888
GTEX-12WSD-2826-SM-59HKT,GTEX-XYKS-1626-SM-4BRUQ,0.8881
GTEX-11I78-2126-SM-5A5K8,GTEX-1117F-2426-SM-5EGGH,0.8881
GTEX-WWYW-2826-SM-4MVOQ,GTEX-132AR-1526-SM-5KM1L,0.8881
GTEX-S341-1026-SM-4AD71,GTEX-11ZTS-2326-SM-5EQMY,0.8881
GTEX-11ZTT-1726-SM-5EQL4,GTEX-ZAK1-2526-SM-5S2N7,0.8882
GTEX-TSE9-2626-SM-4DXV2,GTEX-YJ8O-1126-SM-5P9IS,0.8882
GTEX-1117F-2426-SM-5EGGH,GTEX-T2IS-2226-SM-4DM65,0.8882
GTEX-13N11-1126-SM-5KM41,GTEX-13VXT-1626-SM-5IJES,0.8883
GTEX-N7MT-0726-SM-3TW8S,GTEX-13U4I-1926-SM-5LU39,0.8883
GTEX-13OVI-1026-SM-5L3EM,GTEX-N7MT-0726-SM-3TW8S,0.8883
GTEX-TSE9-2626-SM-4DXV2,GTEX-ZXES-0726-SM-5E451,0.8883
GTEX-14BIM-2226-SM-5SI8Y,GTEX-S341-1026-SM-4AD71,0.8883
GTEX-13OVJ-2326-SM-5IJGA,GTEX-ZYWO-2126-SM-5GZXF,0.8884
GTEX-ZVT2-0426-SM-5E44S,GTEX-QCQG-1326-SM-48U24,0.8884
GTEX-QCQG-1326-SM-48U24,GTEX-Q734-1626-SM-48U1B,0.8884
GTEX-131XG-2026-SM-5GCN5,GTEX-Q734-1626-SM-48U1B,0.8885
GTEX-R55G-1626-SM-48FF4,GTEX-QCQG-1326-SM-48U24,0.8885
GTEX-P4PP-2026-SM-3P61N,GTEX-13PL7-2026-SM-5IFGK,0.8885
GTEX-1399S-2226-SM-5IFEW,GTEX-TSE9-2626-SM-4DXV2,0.8886
GTEX-WEY5-0726-SM-4LMID,GTEX-13S7M-1726-SM-5RQK3,0.8886
GTEX-UPIC-1526-SM-4IHLU,GTEX-131XG-2026-SM-5GCN5,0.8887
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-S341-1026-SM-4AD71,0.8887
GTEX-12WSG-2126-SM-5EGJ7,GTEX-QCQG-1326-SM-48U24,0.8887
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-Y3IK-2126-SM-4YCDS,0.8888
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-13PL7-2026-SM-5IFGK,0.8888
GTEX-RTLS-2426-SM-46MUO,GTEX-11P81-1626-SM-5BC52,0.8888
GTEX-ZP4G-0726-SM-4WWF2,GTEX-13W3W-1426-SM-5LU56,0.8888
GTEX-14BIM-2226-SM-5SI8Y,GTEX-13W3W-1426-SM-5LU56,0.8889
GTEX-TSE9-2626-SM-4DXV2,GTEX-U3ZN-0726-SM-4DXT5,0.8889
GTEX-11DXX-1526-SM-5H115,GTEX-TSE9-2626-SM-4DXV2,0.8889
GTEX-11I78-2126-SM-5A5K8,GTEX-13S7M-1726-SM-5RQK3,0.889
GTEX-WWYW-2826-SM-4MVOQ,GTEX-1399S-2226-SM-5IFEW,0.889
GTEX-P78B-2526-SM-3P5ZY,GTEX-PWOO-1526-SM-48TCK,0.889
GTEX-RWS6-1326-SM-47JXB,GTEX-P78B-2526-SM-3P5ZY,0.8891
GTEX-P4QT-2026-SM-3NMCJ,GTEX-XYKS-1626-SM-4BRUQ,0.8891
GTEX-1313W-2826-SM-5P9G1,GTEX-145ME-1326-SM-5O98Q,0.8891
GTEX-13FTX-1026-SM-5J2O5,GTEX-13W3W-1426-SM-5LU56,0.8891
GTEX-11ZTS-2326-SM-5EQMY,GTEX-XYKS-1626-SM-4BRUQ,0.8892
GTEX-11I78-2126-SM-5A5K8,GTEX-YJ8O-1126-SM-5P9IS,0.8892
GTEX-11GSP-2426-SM-5N9BD,GTEX-14BMU-1826-SM-5RQII,0.8892
GTEX-ZYVF-0526-SM-5E43E,GTEX-S32W-1426-SM-4AD66,0.8892
GTEX-13N11-1126-SM-5KM41,GTEX-113JC-2226-SM-5EGJG,0.8892
GTEX-1313W-2826-SM-5P9G1,GTEX-T6MO-1526-SM-4DM57,0.8892
GTEX-PWN1-2026-SM-48TD9,GTEX-YFC4-2826-SM-5P9FR,0.8893
GTEX-XUJ4-1526-SM-4BONU,GTEX-PWOO-1526-SM-48TCK,0.8893
GTEX-R55G-1626-SM-48FF4,GTEX-13VXT-1626-SM-5IJES,0.8894
GTEX-T5JW-1526-SM-4DM5E,GTEX-11ZTS-2326-SM-5EQMY,0.8894
GTEX-12WSG-2126-SM-5EGJ7,GTEX-R55G-1626-SM-48FF4,0.8894
GTEX-N7MT-0726-SM-3TW8S,GTEX-13FTX-1026-SM-5J2O5,0.8895
GTEX-132AR-1526-SM-5KM1L,GTEX-13U4I-1926-SM-5LU39,0.8895
GTEX-11EM3-1926-SM-5987U,GTEX-1117F-2426-SM-5EGGH,0.8895
GTEX-TSE9-2626-SM-4DXV2,GTEX-ZLWG-1026-SM-4WWC4,0.8895
GTEX-ZTPG-2026-SM-5O999,GTEX-ZV6S-1526-SM-5NQ7O,0.8896
GTEX-113JC-2226-SM-5EGJG,GTEX-PX3G-2026-SM-48U1H,0.8896
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-R55G-1626-SM-48FF4,0.8896
GTEX-S4UY-1226-SM-4AD51,GTEX-RU72-2626-SM-4TT75,0.8896
GTEX-P4PP-2026-SM-3P61N,GTEX-RTLS-2426-SM-46MUO,0.8896
GTEX-ZP4G-0726-SM-4WWF2,GTEX-12WSD-2826-SM-59HKT,0.8897
GTEX-YFC4-2826-SM-5P9FR,GTEX-WI4N-2426-SM-4OOSC,0.8897
GTEX-14BIM-2226-SM-5SI8Y,GTEX-POMQ-1226-SM-3P61F,0.8897
GTEX-11EMC-1826-SM-5A5JT,GTEX-PX3G-2026-SM-48U1H,0.8897
GTEX-XUZC-0926-SM-4BOQF,GTEX-W5WG-1326-SM-4LMI9,0.8898
GTEX-11P81-1626-SM-5BC52,GTEX-XYKS-1626-SM-4BRUQ,0.8899
GTEX-S32W-1426-SM-4AD66,GTEX-PWOO-1526-SM-48TCK,0.8899
GTEX-XUZC-0926-SM-4BOQF,GTEX-S32W-1426-SM-4AD66,0.8899
GTEX-RTLS-2426-SM-46MUO,GTEX-1117F-2426-SM-5EGGH,0.8899
GTEX-ZXES-0726-SM-5E451,GTEX-PWOO-1526-SM-48TCK,0.8899
GTEX-131YS-2326-SM-5IJFJ,GTEX-QCQG-1326-SM-48U24,0.89
GTEX-ZVT2-0426-SM-5E44S,GTEX-13W3W-1426-SM-5LU56,0.89
GTEX-Y114-1826-SM-4TT87,GTEX-11ZTS-2326-SM-5EQMY,0.89
GTEX-ZVT2-0426-SM-5E44S,GTEX-13VXT-1626-SM-5IJES,0.89
GTEX-13VXT-1626-SM-5IJES,GTEX-11P81-1626-SM-5BC52,0.89
GTEX-1399S-2226-SM-5IFEW,GTEX-N7MT-0726-SM-3TW8S,0.89
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-11EMC-1826-SM-5A5JT,0.89
GTEX-13OVI-1026-SM-5L3EM,GTEX-YJ8O-1126-SM-5P9IS,0.89
GTEX-ZTPG-2026-SM-5O999,GTEX-W5WG-1326-SM-4LMI9,0.8901
GTEX-RU72-2626-SM-4TT75,GTEX-113JC-2226-SM-5EGJG,0.8901
GTEX-Y114-1826-SM-4TT87,GTEX-131XG-2026-SM-5GCN5,0.8901
GTEX-12WSG-2126-SM-5EGJ7,GTEX-S341-1026-SM-4AD71,0.8902
GTEX-131YS-2326-SM-5IJFJ,GTEX-U3ZN-0726-SM-4DXT5,0.8902
GTEX-1117F-2426-SM-5EGGH,GTEX-13S7M-1726-SM-5RQK3,0.8902
GTEX-13PL7-2026-SM-5IFGK,GTEX-QCQG-1326-SM-48U24,0.8903
GTEX-Y3IK-2126-SM-4YCDS,GTEX-WI4N-2426-SM-4OOSC,0.8903
GTEX-QCQG-1326-SM-48U24,GTEX-13QBU-1626-SM-5LU4S,0.8903
GTEX-Y114-1826-SM-4TT87,GTEX-S7SF-0826-SM-4AD4W,0.8903
GTEX-TMMY-2226-SM-4DXTN,GTEX-12WSD-2826-SM-59HKT,0.8903
GTEX-XUJ4-1526-SM-4BONU,GTEX-S7SF-0826-SM-4AD4W,0.8904
GTEX-11EMC-1826-SM-5A5JT,GTEX-QCQG-1326-SM-48U24,0.8904
GTEX-ZAK1-2526-SM-5S2N7,GTEX-13QBU-1626-SM-5LU4S,0.8904
GTEX-OHPL-2026-SM-3TW8R,GTEX-WI4N-2426-SM-4OOSC,0.8904
GTEX-11GSP-2426-SM-5N9BD,GTEX-13VXT-1626-SM-5IJES,0.8904
GTEX-11ZTT-1726-SM-5EQL4,GTEX-13W3W-1426-SM-5LU56,0.8904
GTEX-1399S-2226-SM-5IFEW,GTEX-RU72-2626-SM-4TT75,0.8904
GTEX-11GSP-2426-SM-5N9BD,GTEX-11EM3-1926-SM-5987U,0.8905
GTEX-12WSD-2826-SM-59HKT,GTEX-T2IS-2226-SM-4DM65,0.8905
GTEX-11ZTT-1726-SM-5EQL4,GTEX-1117F-2426-SM-5EGGH,0.8905
GTEX-ZYVF-0526-SM-5E43E,GTEX-PX3G-2026-SM-48U1H,0.8906
GTEX-ZXES-0726-SM-5E451,GTEX-XYKS-1626-SM-4BRUQ,0.8906
GTEX-P4PP-2026-SM-3P61N,GTEX-1399U-1326-SM-5IJET,0.8906
GTEX-RTLS-2426-SM-46MUO,GTEX-RU1J-1026-SM-46MUR,0.8907
GTEX-13OVI-1026-SM-5L3EM,GTEX-13U4I-1926-SM-5LU39,0.8907
GTEX-POMQ-1226-SM-3P61F,GTEX-13W3W-1426-SM-5LU56,0.8907
GTEX-1313W-2826-SM-5P9G1,GTEX-1117F-2426-SM-5EGGH,0.8907
GTEX-RU1J-1026-SM-46MUR,GTEX-13S7M-1726-SM-5RQK3,0.8907
GTEX-14BMU-1826-SM-5RQII,GTEX-13S7M-1726-SM-5RQK3,0.8907
GTEX-ZTPG-2026-SM-5O999,GTEX-13W3W-1426-SM-5LU56,0.8907
GTEX-13OVI-1026-SM-5L3EM,GTEX-1313W-2826-SM-5P9G1,0.8907
GTEX-TSE9-2626-SM-4DXV2,GTEX-113JC-2226-SM-5EGJG,0.8907
GTEX-UPIC-1526-SM-4IHLU,GTEX-WI4N-2426-SM-4OOSC,0.8907
GTEX-11GSP-2426-SM-5N9BD,GTEX-WI4N-2426-SM-4OOSC,0.8908
GTEX-PWN1-2026-SM-48TD9,GTEX-13VXT-1626-SM-5IJES,0.8908
GTEX-Y114-1826-SM-4TT87,GTEX-1117F-2426-SM-5EGGH,0.8908
GTEX-132AR-1526-SM-5KM1L,GTEX-11I78-2126-SM-5A5K8,0.8908
GTEX-TMMY-2226-SM-4DXTN,GTEX-11ZTS-2326-SM-5EQMY,0.8908
GTEX-RU72-2626-SM-4TT75,GTEX-11P81-1626-SM-5BC52,0.8909
GTEX-S341-1026-SM-4AD71,GTEX-13W3W-1426-SM-5LU56,0.8909
GTEX-ZXES-0726-SM-5E451,GTEX-13W3W-1426-SM-5LU56,0.8909
GTEX-UPIC-1526-SM-4IHLU,GTEX-PWOO-1526-SM-48TCK,0.8909
GTEX-S4UY-1226-SM-4AD51,GTEX-1313W-2826-SM-5P9G1,0.891
GTEX-XUJ4-1526-SM-4BONU,GTEX-PX3G-2026-SM-48U1H,0.891
GTEX-XUZC-0926-SM-4BOQF,GTEX-WI4N-2426-SM-4OOSC,0.891
GTEX-RU72-2626-SM-4TT75,GTEX-13OVJ-2326-SM-5IJGA,0.891
GTEX-S341-1026-SM-4AD71,GTEX-13U4I-1926-SM-5LU39,0.8911
GTEX-T5JW-1526-SM-4DM5E,GTEX-14BIM-2226-SM-5SI8Y,0.8911
GTEX-XUJ4-1526-SM-4BONU,GTEX-ZYWO-2126-SM-5GZXF,0.8912
GTEX-RU1J-1026-SM-46MUR,GTEX-13W3W-1426-SM-5LU56,0.8912
GTEX-ZYVF-0526-SM-5E43E,GTEX-WEY5-0726-SM-4LMID,0.8913
GTEX-131YS-2326-SM-5IJFJ,GTEX-RU1J-1026-SM-46MUR,0.8913
GTEX-TSE9-2626-SM-4DXV2,GTEX-S4UY-1226-SM-4AD51,0.8913
GTEX-13OVI-1026-SM-5L3EM,GTEX-S7SF-0826-SM-4AD4W,0.8913
GTEX-131YS-2326-SM-5IJFJ,GTEX-T6MO-1526-SM-4DM57,0.8913
GTEX-XUJ4-1526-SM-4BONU,GTEX-131XG-2026-SM-5GCN5,0.8913
GTEX-11I78-2126-SM-5A5K8,GTEX-S7SF-0826-SM-4AD4W,0.8913
GTEX-13OVI-1026-SM-5L3EM,GTEX-131YS-2326-SM-5IJFJ,0.8914
GTEX-T5JW-1526-SM-4DM5E,GTEX-11EMC-1826-SM-5A5JT,0.8914
GTEX-1399U-1326-SM-5IJET,GTEX-XUZC-0926-SM-4BOQF,0.8914
GTEX-ZYVF-0526-SM-5E43E,GTEX-11EM3-1926-SM-5987U,0.8914
GTEX-TMMY-2226-SM-4DXTN,GTEX-TSE9-2626-SM-4DXV2,0.8915
GTEX-WWYW-2826-SM-4MVOQ,GTEX-OHPL-2026-SM-3TW8R,0.8915
GTEX-13PL7-2026-SM-5IFGK,GTEX-XUZC-0926-SM-4BOQF,0.8915
GTEX-1313W-2826-SM-5P9G1,GTEX-13QBU-1626-SM-5LU4S,0.8916
GTEX-11EM3-1926-SM-5987U,GTEX-13OVJ-2326-SM-5IJGA,0.8916
GTEX-13OVI-1026-SM-5L3EM,GTEX-TMMY-2226-SM-4DXTN,0.8916
GTEX-TMMY-2226-SM-4DXTN,GTEX-PWOO-1526-SM-48TCK,0.8916
GTEX-1313W-2826-SM-5P9G1,GTEX-S7SF-0826-SM-4AD4W,0.8916
GTEX-12WSK-2026-SM-5CVNB,GTEX-PWOO-1526-SM-48TCK,0.8916
GTEX-11EM3-1926-SM-5987U,GTEX-13VXT-1626-SM-5IJES,0.8917
GTEX-14BIM-2226-SM-5SI8Y,GTEX-T2IS-2226-SM-4DM65,0.8917
GTEX-S341-1026-SM-4AD71,GTEX-S32W-1426-SM-4AD66,0.8917
GTEX-U3ZN-0726-SM-4DXT5,GTEX-11ZTS-2326-SM-5EQMY,0.8917
GTEX-POMQ-1226-SM-3P61F,GTEX-XYKS-1626-SM-4BRUQ,0.8917
GTEX-12WSD-2826-SM-59HKT,GTEX-S32W-1426-SM-4AD66,0.8917
GTEX-P4QT-2026-SM-3NMCJ,GTEX-TSE9-2626-SM-4DXV2,0.8917
GTEX-11ZTT-1726-SM-5EQL4,GTEX-PWOO-1526-SM-48TCK,0.8918
GTEX-ZP4G-0726-SM-4WWF2,GTEX-13OVJ-2326-SM-5IJGA,0.8918
GTEX-11ZTT-1726-SM-5EQL4,GTEX-U3ZN-0726-SM-4DXT5,0.8918
GTEX-14BIM-2226-SM-5SI8Y,GTEX-PX3G-2026-SM-48U1H,0.8918
GTEX-13D11-1226-SM-5IFGA,GTEX-11GSP-2426-SM-5N9BD,0.892
GTEX-11I78-2126-SM-5A5K8,GTEX-11P81-1626-SM-5BC52,0.892
GTEX-YFC4-2826-SM-5P9FR,GTEX-XYKS-1626-SM-4BRUQ,0.8921
GTEX-Y3IK-2126-SM-4YCDS,GTEX-PWOO-1526-SM-48TCK,0.8921
GTEX-13D11-1226-SM-5IFGA,GTEX-P4PP-2026-SM-3P61N,0.8922
GTEX-Y114-1826-SM-4TT87,GTEX-YFC4-2826-SM-5P9FR,0.8922
GTEX-ZAK1-2526-SM-5S2N7,GTEX-ZXES-0726-SM-5E451,0.8922
GTEX-11EM3-1926-SM-5987U,GTEX-11I78-2126-SM-5A5K8,0.8922
GTEX-13OVI-1026-SM-5L3EM,GTEX-11P81-1626-SM-5BC52,0.8923
GTEX-11DXX-1526-SM-5H115,GTEX-1117F-2426-SM-5EGGH,0.8923
GTEX-Y114-1826-SM-4TT87,GTEX-XYKS-1626-SM-4BRUQ,0.8923
GTEX-Y114-1826-SM-4TT87,GTEX-12WSD-2826-SM-59HKT,0.8924
GTEX-Y114-1826-SM-4TT87,GTEX-12ZZX-2126-SM-5LZVL,0.8924
GTEX-13N11-1126-SM-5KM41,GTEX-11EMC-1826-SM-5A5JT,0.8924
GTEX-13OVI-1026-SM-5L3EM,GTEX-14BMU-1826-SM-5RQII,0.8924
GTEX-ZP4G-0726-SM-4WWF2,GTEX-113JC-2226-SM-5EGJG,0.8924
GTEX-131YS-2326-SM-5IJFJ,GTEX-1117F-2426-SM-5EGGH,0.8925
GTEX-TMMY-2226-SM-4DXTN,GTEX-13S7M-1726-SM-5RQK3,0.8925
GTEX-11DXX-1526-SM-5H115,GTEX-U3ZN-0726-SM-4DXT5,0.8925
GTEX-TMMY-2226-SM-4DXTN,GTEX-YFC4-2826-SM-5P9FR,0.8925
GTEX-XUJ4-1526-SM-4BONU,GTEX-QCQG-1326-SM-48U24,0.8925
GTEX-OHPL-2026-SM-3TW8R,GTEX-1313W-2826-SM-5P9G1,0.8926
GTEX-ZYVF-0526-SM-5E43E,GTEX-S7SF-0826-SM-4AD4W,0.8926
GTEX-WWYW-2826-SM-4MVOQ,GTEX-1399U-1326-SM-5IJET,0.8926
GTEX-PWOO-1526-SM-48TCK,GTEX-WI4N-2426-SM-4OOSC,0.8926
GTEX-ZAK1-2526-SM-5S2N7,GTEX-ZLWG-1026-SM-4WWC4,0.8927
GTEX-13OVI-1026-SM-5L3EM,GTEX-145ME-1326-SM-5O98Q,0.8927
GTEX-1117F-2426-SM-5EGGH,GTEX-ZYWO-2126-SM-5GZXF,0.8927
GTEX-11ZTT-1726-SM-5EQL4,GTEX-ZTPG-2026-SM-5O999,0.8928
GTEX-ZP4G-0726-SM-4WWF2,GTEX-ZV6S-1526-SM-5NQ7O,0.8928
GTEX-WWYW-2826-SM-4MVOQ,GTEX-1117F-2426-SM-5EGGH,0.8928
GTEX-131XG-2026-SM-5GCN5,GTEX-12WSK-2026-SM-5CVNB,0.8928
GTEX-N7MT-0726-SM-3TW8S,GTEX-S7SF-0826-SM-4AD4W,0.8928
GTEX-ZYWO-2126-SM-5GZXF,GTEX-XYKS-1626-SM-4BRUQ,0.8929
GTEX-S32W-1426-SM-4AD66,GTEX-11ZTS-2326-SM-5EQMY,0.8929
GTEX-1313W-2826-SM-5P9G1,GTEX-13VXT-1626-SM-5IJES,0.8929
GTEX-13OVJ-2326-SM-5IJGA,GTEX-WEY5-0726-SM-4LMID,0.8929
GTEX-Y114-1826-SM-4TT87,GTEX-U3ZN-0726-SM-4DXT5,0.8929
GTEX-YFC4-2826-SM-5P9FR,GTEX-ZYWO-2126-SM-5GZXF,0.8929
GTEX-Q734-1626-SM-48U1B,GTEX-WI4N-2426-SM-4OOSC,0.8929
GTEX-13OVI-1026-SM-5L3EM,GTEX-P78B-2526-SM-3P5ZY,0.8929
GTEX-Y114-1826-SM-4TT87,GTEX-113JC-2226-SM-5EGJG,0.893
GTEX-12WSG-2126-SM-5EGJ7,GTEX-PWN1-2026-SM-48TD9,0.893
GTEX-WWYW-2826-SM-4MVOQ,GTEX-UPIC-1526-SM-4IHLU,0.893
GTEX-TSE9-2626-SM-4DXV2,GTEX-13QBU-1626-SM-5LU4S,0.893
GTEX-WEY5-0726-SM-4LMID,GTEX-1117F-2426-SM-5EGGH,0.893
GTEX-XUZC-0926-SM-4BOQF,GTEX-13VXT-1626-SM-5IJES,0.8931
GTEX-13S7M-1726-SM-5RQK3,GTEX-S32W-1426-SM-4AD66,0.8931
GTEX-11EMC-1826-SM-5A5JT,GTEX-T2IS-2226-SM-4DM65,0.8931
GTEX-S341-1026-SM-4AD71,GTEX-U3ZN-0726-SM-4DXT5,0.8931
GTEX-11DXX-1526-SM-5H115,GTEX-13W3W-1426-SM-5LU56,0.8931
GTEX-11GSP-2426-SM-5N9BD,GTEX-POMQ-1226-SM-3P61F,0.8933
GTEX-YJ8O-1126-SM-5P9IS,GTEX-XYKS-1626-SM-4BRUQ,0.8933
GTEX-11ZTT-1726-SM-5EQL4,GTEX-13S7M-1726-SM-5RQK3,0.8933
GTEX-S7SF-0826-SM-4AD4W,GTEX-13VXT-1626-SM-5IJES,0.8933
GTEX-13FTX-1026-SM-5J2O5,GTEX-WI4N-2426-SM-4OOSC,0.8933
GTEX-UPIC-1526-SM-4IHLU,GTEX-XYKS-1626-SM-4BRUQ,0.8933
GTEX-ZLWG-1026-SM-4WWC4,GTEX-PWOO-1526-SM-48TCK,0.8934
GTEX-11ZTT-1726-SM-5EQL4,GTEX-XUZC-0926-SM-4BOQF,0.8934
GTEX-11DXX-1526-SM-5H115,GTEX-YFC4-2826-SM-5P9FR,0.8934
GTEX-14BMU-1826-SM-5RQII,GTEX-113JC-2226-SM-5EGJG,0.8934
GTEX-131XG-2026-SM-5GCN5,GTEX-TSE9-2626-SM-4DXV2,0.8935
GTEX-11ZTT-1726-SM-5EQL4,GTEX-ZYVF-0526-SM-5E43E,0.8935
GTEX-11GSP-2426-SM-5N9BD,GTEX-RU72-2626-SM-4TT75,0.8935
GTEX-XUZC-0926-SM-4BOQF,GTEX-13U4I-1926-SM-5LU39,0.8935
GTEX-13OVI-1026-SM-5L3EM,GTEX-12ZZX-2126-SM-5LZVL,0.8935
GTEX-XUJ4-1526-SM-4BONU,GTEX-XUZC-0926-SM-4BOQF,0.8935
GTEX-Y114-1826-SM-4TT87,GTEX-S32W-1426-SM-4AD66,0.8935
GTEX-N7MT-0726-SM-3TW8S,GTEX-P78B-2526-SM-3P5ZY,0.8936
GTEX-11GSP-2426-SM-5N9BD,GTEX-13W3W-1426-SM-5LU56,0.8936
GTEX-13D11-1226-SM-5IFGA,GTEX-ZAK1-2526-SM-5S2N7,0.8936
GTEX-S341-1026-SM-4AD71,GTEX-YFC4-2826-SM-5P9FR,0.8936
GTEX-12ZZX-2126-SM-5LZVL,GTEX-WI4N-2426-SM-4OOSC,0.8936
GTEX-POMQ-1226-SM-3P61F,GTEX-12WSD-2826-SM-59HKT,0.8937
GTEX-11GSP-2426-SM-5N9BD,GTEX-11P81-1626-SM-5BC52,0.8937
GTEX-S4UY-1226-SM-4AD51,GTEX-PWOO-1526-SM-48TCK,0.8937
GTEX-Y114-1826-SM-4TT87,GTEX-W5WG-1326-SM-4LMI9,0.8938
GTEX-ZYVF-0526-SM-5E43E,GTEX-14BMU-1826-SM-5RQII,0.8938
GTEX-113JC-2226-SM-5EGJG,GTEX-S7SF-0826-SM-4AD4W,0.8938
GTEX-RU72-2626-SM-4TT75,GTEX-13S7M-1726-SM-5RQK3,0.8939
GTEX-Y114-1826-SM-4TT87,GTEX-PX3G-2026-SM-48U1H,0.8939
GTEX-OHPL-2026-SM-3TW8R,GTEX-U3ZN-0726-SM-4DXT5,0.8939
GTEX-P4PP-2026-SM-3P61N,GTEX-11EMC-1826-SM-5A5JT,0.894
GTEX-13OVJ-2326-SM-5IJGA,GTEX-S7SF-0826-SM-4AD4W,0.894
GTEX-TMMY-2226-SM-4DXTN,GTEX-131XG-2026-SM-5GCN5,0.8941
GTEX-13OVI-1026-SM-5L3EM,GTEX-S341-1026-SM-4AD71,0.8941
GTEX-WWYW-2826-SM-4MVOQ,GTEX-WI4N-2426-SM-4OOSC,0.8941
GTEX-T2IS-2226-SM-4DM65,GTEX-11P81-1626-SM-5BC52,0.8941
GTEX-ZVT2-0426-SM-5E44S,GTEX-PWOO-1526-SM-48TCK,0.8941
GTEX-RWS6-1326-SM-47JXB,GTEX-132AR-1526-SM-5KM1L,0.8941
GTEX-11ZTT-1726-SM-5EQL4,GTEX-S7SF-0826-SM-4AD4W,0.8941
GTEX-13OVI-1026-SM-5L3EM,GTEX-ZYVF-0526-SM-5E43E,0.8941
GTEX-132AR-1526-SM-5KM1L,GTEX-QCQG-1326-SM-48U24,0.8941
GTEX-131XG-2026-SM-5GCN5,GTEX-11P81-1626-SM-5BC52,0.8941
GTEX-ZVT2-0426-SM-5E44S,GTEX-13S7M-1726-SM-5RQK3,0.8942
GTEX-11ZTT-1726-SM-5EQL4,GTEX-TMMY-2226-SM-4DXTN,0.8942
GTEX-13FTX-1026-SM-5J2O5,GTEX-ZAK1-2526-SM-5S2N7,0.8942
GTEX-ZVT2-0426-SM-5E44S,GTEX-ZV6S-1526-SM-5NQ7O,0.8942
GTEX-11ZTT-1726-SM-5EQL4,GTEX-11I78-2126-SM-5A5K8,0.8943
GTEX-WWYW-2826-SM-4MVOQ,GTEX-13FTX-1026-SM-5J2O5,0.8943
GTEX-RU72-2626-SM-4TT75,GTEX-YJ8O-1126-SM-5P9IS,0.8944
GTEX-XYKS-1626-SM-4BRUQ,GTEX-T6MO-1526-SM-4DM57,0.8944
GTEX-12WSK-2026-SM-5CVNB,GTEX-XYKS-1626-SM-4BRUQ,0.8944
GTEX-YFC4-2826-SM-5P9FR,GTEX-WEY5-0726-SM-4LMID,0.8944
GTEX-11GSP-2426-SM-5N9BD,GTEX-WEY5-0726-SM-4LMID,0.8944
GTEX-TSE9-2626-SM-4DXV2,GTEX-S7SF-0826-SM-4AD4W,0.8944
GTEX-11GSP-2426-SM-5N9BD,GTEX-S7SF-0826-SM-4AD4W,0.8945
GTEX-S7SF-0826-SM-4AD4W,GTEX-PWOO-1526-SM-48TCK,0.8945
GTEX-131XG-2026-SM-5GCN5,GTEX-13PL7-2026-SM-5IFGK,0.8945
GTEX-P4QT-2026-SM-3NMCJ,GTEX-WI4N-2426-SM-4OOSC,0.8945
GTEX-ZP4G-0726-SM-4WWF2,GTEX-13VXT-1626-SM-5IJES,0.8945
GTEX-11GSP-2426-SM-5N9BD,GTEX-S4UY-1226-SM-4AD51,0.8946
GTEX-12WSG-2126-SM-5EGJ7,GTEX-P4PP-2026-SM-3P61N,0.8946
GTEX-11GSP-2426-SM-5N9BD,GTEX-PX3G-2026-SM-48U1H,0.8946
